n "t (s)" "x (cm)" "y (cm)" "vx (cm/s)" "vy (cm/s)"
74 18672136.62439402 -4701643656002.592 4701602216288.251 -4300871.2242111545 -309621.72440712154
75 18924462.794993937 -5721294043890.71 4562695424539.958 -3789010.921661358 -767065.3396508174
76 19176788.965593856 -6617445845255.624 4324405191503.5806 -3320882.7853213977 -1105541.8595879637
77 19429115.136193775 -7400257887343.146 4011553550782.233 -2889427.570771419 -1362872.951434086
78 19681441.306793693 -8078098394513.264 3641499683686.9424 -2487769.330178181 -1561938.4856433158
79 19933767.477393612 -8657717474016.952 3226977357448.139 -2109992.4478591955 -1717289.3162044322
80 20186093.64799353 -9144498440494.553 2777723708255.483 -1751156.5896352967 -1838534.309816416
81 20438419.81859345 -9542684216961.016 2301470875948.599 -1407130.6769017617 -1932185.1620540984
82 20690745.98919337 -9855557902951.957 1804582342131.1587 -1074408.0295990284 -2002712.116816375
83 20943072.159793288 -10085579174705.008 1292482276103.6687 -749943.5291620574 -2053170.5524630058
84 21195398.330393206 -10234483071218.451 769960696535.7487 -431017.849068833 -2085580.2729414303
85 21447724.500993125 -10303347465946.906 241403507150.10425 -115123.86384612112 -2101153.19243837
86 21700050.671593044 -10292633946982.654 -289021477847.4952 200131.74741645664 -2100420.591349049
87 21952376.842192963 -10202205054610.547 -817200892096.0836 517118.64857315604 -2083286.1767932356
88 22204703.01279288 -10031319117463.94 -1338917427618.0508 838271.360829745 -2049015.3022747193
89 22457029.1833928 -9778602273596.88 -1849680572971.1626 1166182.716480201 -1996158.1786900763
90 22709355.35399272 -9441995567057.133 -2344528195296.578 1503709.187896861 -1922391.680168974
91 22961681.524592638 -9018673187023.59 -2817774650841.154 1854095.6150135451 -1824246.006076891
92 23214007.695192557 -8504925988656.433 -3262669120290.3726 2221126.8747503115 -1696652.023800697
93 23466333.865792476 -7896002810447.097 -3670905359818.2163 2609310.9015326602 -1532188.9505121694
94 23718660.036392394 -7185902418710.929 -4031881316255.067 3024082.9550521295 -1319800.4876972907
95 23970986.206992313 -6367116742969.137 -4331522645249.9453 3471968.4501716564 -1042511.13127717
96 24223312.377592232 -5430360142784.154 -4550308138670.067 3960459.76193036 -673138.6965270761
97 24475638.54819215 -4364445524037.8755 -4659742982356.567 4496712.899248941 -165694.81204445963
98 24727964.71879207 -3156937620066.2305 -4615586006585.067 5081651.712219777 563243.5671358306
99 24980290.88939199 -1798112493890.6602 -4343729291511.569 5684995.07356288 1678132.2029581117
100 25232617.059991907 -299541904583.43066 -3708557059734.3247 6129832.404182174 3527449.253088646
101 25484943.230591826 1214840421363.1392 -2448637997366.789 5506978.869407333 6739715.300516267
102 25737269.401191745 2121219976074.691 -263587786682.4839 763473.6150278402 10096331.114971705
103 25989595.571791664 1507695059914.0818 2051047737737.6523 -4946565.05477625 7464026.7626578
104 26241921.742391583 46327722711.06714 3448440251430.5225 -6143944.3790324805 3856167.5105871265
105 26494247.9129915 -1471167026514.4285 4122254509422.449 -5783009.940350534 1682893.3736529578
106 26746574.08359142 -2850287846528.6846 4368997684603.658 -5135100.2036200715 376218.23103001015
107 26998900.25419134 -4061820809140.4756 4350090426676.4956 -4472734.280134367 -469259.32607156946
108 27251226.424791258 -5110894694694.049 4154073725675.813 -3850357.874228501 -1050335.9198417522
109 27503552.595391177 -6008739284877.778 3833729138193.5254 -3273508.0989394533 -1466709.6944440436
110 27755878.765991095 -6766212997583.698 3423085908679.9775 -2736476.4397637737 -1772870.929449488
111 28008204.936591014 -7392401241873.047 2945598903474.7676 -2231618.6578180296 -2000616.6589737157
112 28260531.107190933 -7894490776975.415 2418403013071.2437 -1751688.2227293614 -2169427.5077544204
113 28512857.277790852 -8277945578326.399 1854700725249.586 -1290285.6138223002 -2291597.4759520516
114 28765183.44839077 -8546716525921.566 1265201009919.6943 -841787.1824041784 -2374921.680942243
115 29017509.61899069 -8703412775354.189 659051686240.4564 -401144.1635247132 -2424156.7983150105
116 29269835.78959061 -8749418968693.357 44495745026.50659 36337.50565196044 -2441811.117823748
117 29522161.960190527 -8684957500891.23 -570616505539.2661 475211.70593737706 -2428526.297145321
118 29774488.130790446 -8509097275992.23 -1178373200032.427 920103.2328067065 -2383165.3736030757
119 30026814.301390365 -8219708580513.328 -1770335208944.8608 1375925.8234829342 -2302631.5909139104
120 30279140.471990284 -7813360933067.767 -2336986024904.8174 1848117.6150048666 -2181364.096309303
121 30531466.642590202 -7285158992279.748 -2866998496422.1597 2342895.3915781146 -2010351.6937939166
122 30783792.81319012 -6628514746988.546 -3346158527162.196 2867494.382225897 -1775317.353298945
123 31036118.98379004 -5834874485010.885 -3755654930018.5605 3430242.698080095 -1453329.9450774756
124 31288445.15438996 -4893497735490.216 -4069158497076.0645 4039913.495458522 -1006182.6203658691
125 31540771.324989878 -3791672586403.0254 -4247451928803.65 4702304.466899599 -366586.3657427471
